player_name,team_id
Apoth,4
Asuna,1
Boostio,1
C0M,10
Cryocells,1
Derrek,4
Ethan,3
FiNESSE,3
JonahP,11
Khalil,9
Klaus,5
Less,8
Mazino,10
Melser,5
NaturE,4
OXY,6
Pa1nt,7
Palla,7
Sacy,2
ShahZaM,7
Shyy,5
TenZ,2
Victor,3
Xeppaa,6
Zellsis,2
artzin,7
aspas,10
bang,1
cauanzin,8
crashies,3
eeiu,1
havoc,9
heat,5
icy,11
jawgemo,4
johnqt,2
keznit,5
kiNgg,10
leaf,11
liazzi,7
mazin,7
moose,6
mta,5
mwzera,9
nzr,9
pANcada,8
rich,7
runi,6
s0m,3
saadhak,8
supamen,4
tex,10
trent,11
tuyz,8
valyn,11
vanity,6
xand,9
zekken,2
