,split,week,home_team,away_team,home_round_difference,away_round_difference,num_maps
0,2,1,MIBR,LEV,-10,10,2
1,2,1,SEN,NRG,7,-7,2
2,2,1,FUR,100T,4,-4,2
3,2,1,LOUD,EG,-3,3,3
4,2,1,G2,C9,-1,1,3
5,2,2,EG,FUR,17,-17,2
6,2,2,SEN,KRU,5,-5,2
7,2,2,LOUD,MIBR,8,-8,3
8,2,2,LEV,100T,12,-12,2
9,2,2,NRG,G2,-11,11,2
10,2,2,SEN,C9,13,-13,2
11,2,2,EG,LEV,-11,11,2
12,2,2,LOUD,FUR,-5,5,3
13,2,2,MIBR,100T,-15,15,2
14,2,2,NRG,KRU,6,-6,3
15,2,3,G2,KRU,1,-1,3
16,2,3,LOUD,LEV,-9,9,2
17,2,3,MIBR,FUR,-9,9,2
18,2,3,NRG,C9,5,-5,3
19,2,3,EG,100T,-6,6,3
