game_id,home_team,away_team,home_score,away_score
0,MIBR,Leviatán,9,13
1,MIBR,Leviatán,7,13
2,Sentinels,NRG Esports,13,8
3,Sentinels,NRG Esports,14,12
4,FURIA,100 Thieves,14,12
5,FURIA,100 Thieves,16,14
6,LOUD,Evil Geniuses,13,7
7,LOUD,Evil Geniuses,6,13
8,LOUD,Evil Geniuses,11,13
9,G2 Esports,Cloud9,13,11
10,G2 Esports,Cloud9,5,13
11,G2 Esports,Cloud9,13,8
12,Evil Geniuses,FURIA,13,5
13,Evil Geniuses,FURIA,13,4
14,Sentinels,KRÜ Esports,13,11
15,Sentinels,KRÜ Esports,13,10
16,LOUD,MIBR,13,7
17,LOUD,MIBR,11,13
18,LOUD,MIBR,13,9
19,Leviatán,100 Thieves,13,10
20,Leviatán,100 Thieves,13,4
21,NRG Esports,G2 Esports,7,13
22,NRG Esports,G2 Esports,8,13
23,Sentinels,Cloud9,13,5
24,Sentinels,Cloud9,13,8
25,Evil Geniuses,Leviatán,5,13
26,Evil Geniuses,Leviatán,10,13
27,LOUD,FURIA,13,11
28,LOUD,FURIA,10,13
29,LOUD,FURIA,9,13
30,MIBR,100 Thieves,5,13
31,MIBR,100 Thieves,6,13
32,NRG Esports,KRÜ Esports,8,13
33,NRG Esports,KRÜ Esports,13,8
34,NRG Esports,KRÜ Esports,13,7
35,G2 Esports,KRÜ Esports,4,13
36,G2 Esports,KRÜ Esports,16,14
37,G2 Esports,KRÜ Esports,13,5
38,LOUD,Leviatán,11,13
39,LOUD,Leviatán,6,13
40,MIBR,FURIA,10,13
41,MIBR,FURIA,7,13
42,NRG Esports,Cloud9,13,3
43,NRG Esports,Cloud9,10,13
44,NRG Esports,Cloud9,12,14
45,Evil Geniuses,100 Thieves,10,13
46,Evil Geniuses,100 Thieves,13,10
47,Evil Geniuses,100 Thieves,7,13
48,Cloud9,KRÜ Esports,0,0
49,Cloud9,KRÜ Esports,0,0
50,Cloud9,KRÜ Esports,0,0
51,Evil Geniuses,MIBR,0,0
52,Evil Geniuses,MIBR,0,0
53,Evil Geniuses,MIBR,0,0
54,Leviatán,FURIA,0,0
55,Leviatán,FURIA,0,0
56,Leviatán,FURIA,0,0
57,LOUD,100 Thieves,0,0
58,LOUD,100 Thieves,0,0
59,LOUD,100 Thieves,0,0
60,Sentinels,G2 Esports,0,0
61,Sentinels,G2 Esports,0,0
62,Sentinels,G2 Esports,0,0
